epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,5131.18,0.89067,0.52348,1.10309,0.96719,0.96656,0.98822,0.80066,0.79043,0.35283,1.08762,0.0092146,0.0092146,0.0092146
121,5173.58,0.88643,0.52145,1.09878,0.96906,0.97036,0.98814,0.80086,0.79138,0.35093,1.08817,0.009208,0.009208,0.009208
122,5215.7,0.88328,0.52316,1.09851,0.97073,0.97128,0.98857,0.8003,0.7906,0.34967,1.08817,0.0092014,0.0092014,0.0092014
123,5257.84,0.88054,0.51979,1.09512,0.9695,0.9712,0.98847,0.80105,0.7907,0.34944,1.08808,0.0091948,0.0091948,0.0091948
124,5299.99,0.89006,0.52212,1.1012,0.97219,0.96714,0.98859,0.80109,0.79039,0.34916,1.08783,0.0091882,0.0091882,0.0091882
125,5342.4,0.88101,0.52295,1.10247,0.97097,0.96902,0.98843,0.80059,0.78968,0.34846,1.08763,0.0091816,0.0091816,0.0091816
126,5384.74,0.884,0.51682,1.10376,0.97363,0.96931,0.98847,0.80141,0.78775,0.34742,1.08611,0.009175,0.009175,0.009175
127,5427.21,0.88288,0.51797,1.09644,0.97373,0.96933,0.98842,0.80199,0.7866,0.34558,1.08563,0.0091684,0.0091684,0.0091684
128,5469.56,0.88099,0.51104,1.10457,0.97473,0.96761,0.98818,0.80253,0.78557,0.34519,1.08488,0.0091618,0.0091618,0.0091618
129,5512.04,0.88197,0.51357,1.09844,0.9738,0.96777,0.98779,0.80225,0.78439,0.34612,1.08386,0.0091552,0.0091552,0.0091552
130,5554.4,0.88578,0.51787,1.10008,0.97364,0.96601,0.98788,0.80221,0.78525,0.34567,1.08451,0.0091486,0.0091486,0.0091486
131,5596.72,0.88099,0.50997,1.09799,0.97357,0.96601,0.9878,0.80313,0.78379,0.34488,1.0839,0.009142,0.009142,0.009142
132,5639.1,0.87735,0.50652,1.09526,0.97495,0.96601,0.9882,0.80302,0.78364,0.3437,1.08376,0.0091354,0.0091354,0.0091354
133,5681.35,0.87715,0.51055,1.09438,0.97208,0.96865,0.98819,0.80343,0.78253,0.34298,1.08272,0.0091288,0.0091288,0.0091288
134,5723.51,0.87779,0.50886,1.09693,0.9747,0.9648,0.9878,0.80423,0.78201,0.34192,1.08213,0.0091222,0.0091222,0.0091222
135,5765.69,0.87981,0.50121,1.09351,0.97193,0.97013,0.98816,0.80423,0.78039,0.34124,1.08138,0.0091156,0.0091156,0.0091156
136,5807.86,0.88208,0.50836,1.09671,0.97347,0.96794,0.98823,0.80538,0.77969,0.34158,1.08069,0.009109,0.009109,0.009109
137,5850.2,0.87666,0.50924,1.09391,0.97273,0.97119,0.98887,0.8052,0.77983,0.34106,1.08077,0.0091024,0.0091024,0.0091024
138,5892.55,0.87822,0.50847,1.09644,0.97309,0.97281,0.98929,0.80613,0.77955,0.3403,1.08036,0.0090958,0.0090958,0.0090958
139,5934.95,0.8803,0.50335,1.09299,0.97263,0.97166,0.98971,0.80672,0.78034,0.33899,1.08016,0.0090892,0.0090892,0.0090892
140,5977.31,0.87273,0.5067,1.09498,0.97303,0.97172,0.98982,0.80663,0.77999,0.33803,1.07995,0.0090826,0.0090826,0.0090826
141,6019.63,0.87034,0.50171,1.09061,0.96994,0.97401,0.98961,0.80683,0.78007,0.3371,1.08005,0.009076,0.009076,0.009076
142,6061.91,0.87585,0.50648,1.09493,0.97413,0.97076,0.98981,0.80621,0.78033,0.33574,1.07967,0.0090694,0.0090694,0.0090694
143,6104.21,0.87501,0.50322,1.08988,0.9711,0.97359,0.98955,0.8069,0.78041,0.33545,1.07969,0.0090628,0.0090628,0.0090628
144,6146.55,0.86579,0.50023,1.08598,0.97405,0.97194,0.98967,0.80658,0.77923,0.33477,1.07912,0.0090562,0.0090562,0.0090562
145,6188.85,0.87254,0.50315,1.09248,0.97448,0.97165,0.98962,0.80607,0.77916,0.33461,1.07873,0.0090496,0.0090496,0.0090496
146,6231.04,0.8727,0.5077,1.09769,0.9743,0.97109,0.98963,0.80605,0.77862,0.334,1.07847,0.009043,0.009043,0.009043
147,6273.39,0.86746,0.49667,1.09045,0.9755,0.97004,0.98956,0.80701,0.7772,0.3344,1.07776,0.0090364,0.0090364,0.0090364
148,6315.92,0.86611,0.49872,1.0905,0.97532,0.9702,0.98923,0.80755,0.77633,0.33349,1.07693,0.0090298,0.0090298,0.0090298
149,6358.7,0.87441,0.50294,1.09317,0.97458,0.97108,0.98963,0.80814,0.77609,0.33284,1.07658,0.0090232,0.0090232,0.0090232
150,6401.48,0.86737,0.50177,1.08851,0.9752,0.97167,0.98975,0.80846,0.77576,0.33237,1.07623,0.0090166,0.0090166,0.0090166
151,6444.25,0.86523,0.49414,1.08639,0.97476,0.972,0.98969,0.80832,0.7757,0.33128,1.07622,0.00901,0.00901,0.00901
152,6487.22,0.86726,0.49613,1.09286,0.97483,0.97168,0.98968,0.80873,0.7748,0.33105,1.07579,0.0090034,0.0090034,0.0090034
153,6530.18,0.87323,0.49969,1.09142,0.97387,0.9726,0.98978,0.80871,0.77465,0.33104,1.07589,0.0089968,0.0089968,0.0089968
154,6572.95,0.86971,0.49836,1.08928,0.97419,0.97319,0.9896,0.80924,0.77436,0.33058,1.07587,0.0089902,0.0089902,0.0089902
155,6615.12,0.8701,0.50142,1.08915,0.97394,0.97228,0.9896,0.8091,0.77415,0.33014,1.07581,0.0089836,0.0089836,0.0089836
156,6657.53,0.86176,0.49611,1.08853,0.9743,0.9724,0.98969,0.80944,0.77356,0.33008,1.07554,0.008977,0.008977,0.008977
157,6699.59,0.86784,0.49707,1.08648,0.97461,0.9715,0.9897,0.80986,0.77345,0.32952,1.07548,0.0089704,0.0089704,0.0089704
158,6741.48,0.86723,0.49482,1.08662,0.97582,0.9719,0.9901,0.80963,0.77344,0.32951,1.07564,0.0089638,0.0089638,0.0089638
159,6783.33,0.86743,0.4954,1.08979,0.97425,0.97288,0.9899,0.80995,0.77333,0.32907,1.07544,0.0089572,0.0089572,0.0089572
160,6825.2,0.86043,0.49245,1.08635,0.97454,0.97388,0.99036,0.80969,0.77323,0.32884,1.0756,0.0089506,0.0089506,0.0089506
161,6867.21,0.86417,0.48909,1.08768,0.97472,0.97355,0.9904,0.80931,0.77329,0.32843,1.07569,0.008944,0.008944,0.008944
162,6909.19,0.87,0.494,1.08763,0.97579,0.97349,0.99019,0.80949,0.77275,0.32782,1.07562,0.0089374,0.0089374,0.0089374
163,6951.22,0.86433,0.49592,1.08901,0.97767,0.97307,0.99011,0.80977,0.77296,0.32776,1.07557,0.0089308,0.0089308,0.0089308
164,6993.29,0.85755,0.4925,1.08659,0.97722,0.97278,0.98964,0.80952,0.773,0.32757,1.07579,0.0089242,0.0089242,0.0089242
165,7035.24,0.86488,0.48928,1.08835,0.97697,0.97183,0.98975,0.80935,0.77265,0.32757,1.07546,0.0089176,0.0089176,0.0089176
166,7077.21,0.86341,0.49306,1.08503,0.97599,0.97142,0.98993,0.80968,0.77231,0.32758,1.0753,0.008911,0.008911,0.008911
