epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,10783.7,0.8695,0.4979,1.09096,0.97169,0.97197,0.98946,0.8081,0.77803,0.33867,1.07623,0.0089704,0.0089704,0.0089704
158,10854.1,0.87572,0.50584,1.09144,0.97141,0.97226,0.98948,0.80832,0.77813,0.33888,1.07624,0.0089638,0.0089638,0.0089638
159,10924.5,0.87496,0.50509,1.09626,0.97222,0.97221,0.98951,0.8085,0.77792,0.33855,1.07606,0.0089572,0.0089572,0.0089572
160,10994.8,0.86977,0.49928,1.09136,0.97255,0.97255,0.98953,0.80824,0.7777,0.33813,1.07601,0.0089506,0.0089506,0.0089506
161,11064.9,0.87554,0.50344,1.0989,0.97196,0.97324,0.98955,0.80854,0.77756,0.33806,1.07601,0.008944,0.008944,0.008944
162,11135.2,0.87125,0.50003,1.09182,0.9725,0.97314,0.98947,0.80852,0.77741,0.33782,1.07591,0.0089374,0.0089374,0.0089374
163,11205.6,0.8659,0.49539,1.08928,0.97167,0.97285,0.98951,0.80905,0.77737,0.33736,1.07586,0.0089308,0.0089308,0.0089308
164,11276,0.87101,0.50878,1.09433,0.97125,0.97392,0.98953,0.80859,0.77725,0.33732,1.07581,0.0089242,0.0089242,0.0089242
165,11346.4,0.87033,0.49655,1.09356,0.97172,0.97316,0.98951,0.80858,0.77705,0.33697,1.07571,0.0089176,0.0089176,0.0089176
166,11416.6,0.87179,0.49845,1.09009,0.97306,0.9725,0.98957,0.8083,0.77695,0.33692,1.0756,0.008911,0.008911,0.008911
167,11487,0.86675,0.49437,1.09079,0.97207,0.97319,0.98955,0.80867,0.77648,0.33682,1.07529,0.0089044,0.0089044,0.0089044
168,11557.2,0.86218,0.49274,1.08993,0.9732,0.97126,0.98953,0.80882,0.77648,0.33643,1.07515,0.0088978,0.0088978,0.0088978
169,11627.6,0.86433,0.49408,1.09085,0.972,0.97315,0.98948,0.80869,0.77613,0.33647,1.07495,0.0088912,0.0088912,0.0088912
170,11697.9,0.87079,0.5003,1.09267,0.97266,0.9721,0.98949,0.80859,0.77595,0.33611,1.07478,0.0088846,0.0088846,0.0088846
171,11768.1,0.86224,0.49869,1.08465,0.97255,0.9727,0.98949,0.80877,0.77588,0.33606,1.07467,0.008878,0.008878,0.008878
172,11838.5,0.86204,0.497,1.0881,0.97222,0.97321,0.98957,0.80852,0.776,0.33573,1.0745,0.0088714,0.0088714,0.0088714
173,11908.9,0.86041,0.4889,1.08284,0.97307,0.97246,0.98959,0.80897,0.77574,0.33573,1.07446,0.0088648,0.0088648,0.0088648
174,11979.2,0.86224,0.49098,1.09077,0.97306,0.97267,0.98961,0.80876,0.77559,0.33574,1.07437,0.0088582,0.0088582,0.0088582
175,12049.6,0.86016,0.49114,1.08649,0.97334,0.97277,0.98962,0.80908,0.77533,0.33562,1.07423,0.0088516,0.0088516,0.0088516
176,12120.1,0.86223,0.49283,1.08283,0.97234,0.97302,0.98959,0.8091,0.77526,0.33546,1.07417,0.008845,0.008845,0.008845
177,12190.4,0.85719,0.49308,1.08748,0.97256,0.97301,0.98959,0.80944,0.77514,0.33525,1.07405,0.0088384,0.0088384,0.0088384
178,12260.7,0.85956,0.48822,1.08623,0.97332,0.97234,0.98955,0.80921,0.775,0.33519,1.07392,0.0088318,0.0088318,0.0088318
179,12331.1,0.85939,0.49358,1.08713,0.97291,0.97329,0.9897,0.8095,0.77499,0.33506,1.07396,0.0088252,0.0088252,0.0088252
